ciutat,pagina,zona,carrer,preu,m2,preu_m2,nHab,nBanys
girona,1,Santa Eugènia,,800,114,7,4,1
girona,1,"Montilivi, Palau, Eixample Sud-Migdia",,630,70,9,2,1
girona,1,"Montilivi, Palau, Eixample Sud-Migdia",,630,80,8,2,1
girona,1,"Montilivi, Palau, Eixample Nord",,1.500,120,13,4,2
girona,1,"Montilivi, Palau, Eixample Sud-Migdia",,650,54,12,2,1
girona,1,"Montilivi, Palau, Santa Eugenia",,500,67,7,1,1
girona,1,"Montilivi, Palau, Eixample Nord",,800,170,5,2,2
girona,1,"Montilivi, Palau, Eixample Sud-Migdia",,850,107,8,4,2
girona,1,"Montilivi, Palau",,2.500,300,8,3,3
girona,1,"Montilivi, Palau, Pont Major-Pedret",,350,70,5,3,1
girona,1,"Montilivi, Palau",,800,87,9,2,1
girona,1,"Montilivi, Palau, Centre-Barri Vell",,500,49,10,1,1
girona,1,"Montilivi, Palau",,850,96,9,3,2
girona,1,"Montilivi, Palau, Centre-Carme",,1.000,147,7,3,2
girona,1,"Montilivi, Palau, Centre-Carme",,600,42,14,1,1
girona,1,"Montilivi, Palau",,850,92,9,3,2
girona,1,"Montilivi, Palau, Centre-Barri Vell",,900,70,13,2,1
girona,1,"Montilivi, Palau, Eixample Sud-Migdia",,830,95,9,3,1
girona,1,"Montilivi, Palau, Santa Eugenia",,1.300,150,9,5,3
girona,1,"Montilivi, Palau",,650,70,9,3,1
girona,2,"Montilivi, Palau, Centre-Barri Vell",,550,54,10,2,1
girona,2,"Montilivi, Palau, Centre-Barri Vell",,1.150,116,10,4,1
girona,2,"Montilivi, Palau, Eixample Nord",,600,55,11,1,1
girona,2,"Montilivi, Palau, Eixample Nord",,700,100,7,4,2
girona,2,"Montilivi, Palau, Eixample Sud-Migdia",,1.200,160,8,4,2
girona,2,"Montilivi, Palau, Eixample Sud-Migdia",,650,50,13,2,1
girona,2,"Montilivi, Palau, Santa Eugenia",,750,110,7,3,2
girona,2,"Montilivi, Palau",,950,130,7,3,2
girona,2,"Montilivi, Palau, Eixample Sud-Migdia",,650,57,11,2,1
girona,2,"Montilivi, Palau, La Devesa",,700,65,11,2,1
girona,2,"Montilivi, Palau, Eixample Sud-Migdia",,625,65,10,2,1
girona,2,"Montilivi, Palau, Eixample Nord",,1.500,150,10,4,2
girona,2,"Montilivi, Palau, Centre-Barri Vell",,1.000,93,11,3,1
girona,2,"Montilivi, Palau, Eixample Sud-Migdia",,650,81,8,3,2
girona,2,"Montilivi, Palau, La Devesa",,675,68,10,2,1
girona,2,"Montilivi, Palau, La Devesa",,1.250,86,15,2,1
girona,2,"Montilivi, Palau, Montjuïc",,1.600,127,13,3,1
girona,2,"Montilivi, Palau, Centre-Carme",,795,80,10,3,1
girona,2,"Montilivi, Palau, Eixample Nord",,650,78,8,3,1
girona,2,"Montilivi, Palau, Eixample Nord",,750,85,9,2,2
girona,3,"Montilivi, Palau, La Devesa",,700,75,9,3,1
girona,3,"Montilivi, Palau, Eixample Sud-Migdia",,1.300,104,13,6,1
girona,3,"Montilivi, Palau, Eixample Sud-Migdia",,775,90,9,3,2
girona,3,"Montilivi, Palau, La Devesa",,1.400,120,12,4,2
girona,3,"Montilivi, Palau, Centre-Barri Vell",,750,75,10,1,1
girona,3,"Montilivi, Palau, Santa Eugenia",,625,62,10,1,1
girona,3,"Montilivi, Palau, Santa Eugenia",,550,95,6,2,1
girona,3,"Montilivi, Palau, Eixample Nord",,750,56,13,2,1
girona,3,"Montilivi, Palau, Eixample Nord",,750,80,9,2,1
